raman_shift_cm-1,group_1_mean,group_1_sd,group_1_n,group_2_mean,group_2_sd,group_2_n,group_3_mean,group_3_sd,group_3_n,group_4_mean,group_4_sd,group_4_n
752.68,0.0043862,0.0026729,7,0.0941455,0.0496795,9,0.00646878,0.0126812,17,0.0272019,0.00901595,6
755.436,0.00436385,0.00297112,7,0.0825876,0.0460548,9,0.00575324,0.01107,17,0.0250828,0.00880843,6
758.191,0.00544307,0.00408444,7,0.0752015,0.0459433,9,0.00610034,0.0117495,17,0.0249434,0.009117,6
760.946,0.00609481,0.00492659,7,0.0699101,0.0447166,9,0.00613964,0.0120683,17,0.0246845,0.00883665,6
763.698,0.00586115,0.00514292,7,0.066809,0.0452213,9,0.00602829,0.0109229,17,0.0248174,0.00722878,6
766.449,0.00626449,0.00537235,7,0.0635296,0.0443331,9,0.00560574,0.0096908,17,0.0249857,0.00891575,6
769.199,0.00668253,0.00549391,7,0.0584547,0.0419387,9,0.00572013,0.00848434,17,0.0254455,0.00892248,6
771.947,0.00708716,0.00581765,7,0.054227,0.0383022,9,0.0059646,0.00916096,17,0.0261623,0.00831999,6
774.695,0.00757222,0.00601479,7,0.0548153,0.0355542,9,0.00563066,0.00737871,17,0.0260191,0.00537694,6
777.441,0.0080169,0.00574306,7,0.0523278,0.0310551,9,0.00598819,0.00770015,17,0.0288051,0.00542399,6
780.185,0.00788011,0.00589549,7,0.05205,0.0307619,9,0.00537497,0.00571447,17,0.0299967,0.00659085,6
